"商家名称 (Business Name)","来源文件 (Source File)","联系方式 (Contact Information)","合作状态 (Partnership Status)","首次联系日期 (First Contact Date)","负责人 (Person in Charge)","备注 (Notes)","ZB Status","ZB Sub status"
// merchant_emails_list_all_results.csv
"LONGTIME | Modern Asian Restaurant & Bar Bali","","reservations@longtimebali.com","","","","","do_not_mail","role_based"
"The Shady Fox","","hello@tavologroup.com","","","","","do_not_mail","role_based"
"Bali Beer Cycle","","info@balibeercycle.com","","","","","do_not_mail","role_based_catch_all"
"Black Sand Brewery","","info@blacksandbrewery.com","","","","","invalid","mailbox_not_found"
"Shelter Restaurant","","info@shelterbali.com","","","","","do_not_mail","role_based"
"Potato Head Beach Club","","restaurants.seminyak@potatohead.co","","","","","valid",""
"Friends Bar","","info@friendsbarbali.com","","","","","do_not_mail","role_based_catch_all"
"The Shady Pig","","sip@theshadypig.com","","","","","invalid","mailbox_not_found"
"Sensorium Bali","","sensoriumbali@gmail.com","","","","","valid",""
"Milk & Madu Beach Road","","hello@milkandmadu.com","","","","","do_not_mail","role_based_catch_all"
"The Avocado Factory","","hello@theavocadofactory.com","","","","","do_not_mail","role_based"
"Revolver Canggu","","enquiries@revolverbali.com","","","","","invalid","mailbox_not_found"
"ZIN Cafe","","cafe@zin.world","","","","","catch-all",""
"Fold Canggu","","hello@foldbali.com","","","","","do_not_mail","role_based_catch_all"
"Sari Kitchen & Community - by Ekosistem","","hello@saricanggu.com","","","","","do_not_mail","role_based_catch_all"
"Two Face / Coffee & Brunch [Canggu]","","hello@twofacebali.com","","","","","do_not_mail","role_based"
"BAKED. Berawa","","cs@baked.co.id","","","","","do_not_mail","role_based"
"nüde cafe Berawa","","hello@nudeincanggu.com","","","","","do_not_mail","role_based"
"Lusa By/Suka","","hello@bysuka.id","","","","","do_not_mail","role_based"
"Brunch Club Berawa","","bookings@brunchclubbali.com","","","","","do_not_mail","role_based"
"Bokashi Berawa","","hello.bokashi@lydbaligroup.com","","","","","valid",""
"Crate Cafe","","cratelove@lifescrate.com","","","","","invalid","mailbox_not_found"
"ST. ALi - Bali","","support@stali.com.au","","","","","do_not_mail","role_based_catch_all"
"The Common","","hello@thecommonbali.com","","","","","do_not_mail","role_based_catch_all"
"Blou Cafe Canggu","","rsv.ecozy@dijiwasanctuaries.com","","","","","valid",""
"Kawisari Coffee Farm Shop & Eatery Bali","","marketing@kawisaricoffee.com","","","","","do_not_mail","role_based_catch_all"
"Penny Lane","","reservations@pennylanebali.com","","","","","do_not_mail","role_based"
"Cinta Cafe","","info@cintabali.com","","","","","do_not_mail","role_based"
"I Am Vegan Babe","","iamveganbabe@gmail.com","","","","","valid",""
"Secret Spot","","secretspot.id@gmail.com","","","","","invalid","mailbox_not_found"
"Ji Restaurant Bali","","ji@tuguhotels.com","","","","","valid",""
"LACALITA Canggu","","canggu@lacalitabali.com","","","","","valid",""
"La Baracca Bali (Seminyak)","","info@labaraccabali.com","","","","","do_not_mail","role_based"
"Mosto | Berawa","","info@mostobali.com","","","","","do_not_mail","role_based"
"SHUN Omakase Counter","","info@shunomakase.com","","","","","do_not_mail","role_based"
"SKOOL Kitchen","","connect@projectblack.co","","","","","do_not_mail","role_based"
"Santanera","","info@santanerabali.com","","","","","do_not_mail","role_based"
"Te'amo","","teamorest.bali@gmail.com","","","","","valid",""
"B Work Bali","","bwork.bali@gmail.com","","","","","valid",""
"Genesis Creative Centre","","info@genesiscreativecentre.com","","","","","do_not_mail","role_based"
"Karya Co-working Bali","","karyacoworking@gmail.com","","","","","valid",""
"Nebula Entrepreneur Coworking Space","","info@nebula.training","","","","","do_not_mail","role_based_catch_all"
"PUCO Rooftop Coworking space & Eatery","","pucorooftop@gmail.com","","","","","valid",""
"Tropical Nomad Coworking Space","","hello@tropicalnomad.org","","","","","do_not_mail","role_based"
// restaurant_partnerships_all_results.csv 
