"商家名称 (Business Name)","来源文件 (Source File)","联系方式 (Contact Information)","合作状态 (Partnership Status)","首次联系日期 (First Contact Date)","负责人 (Person in Charge)","备注 (Notes)"
"Desa Kitsuné","cafes-dev.json","+62 811 3099 0800 (WhatsApp)","待联系","","",""
"Sensorium Bali","cafes-dev.json","info@sensoriumbali.co.id","待联系","","","Previously invalid, worth retrying"
"Milk & Madu Beach Road","cafes-dev.json","smiles@madhavaenterprises.com","待联系","","",""
"The Avocado Factory","cafes-dev.json","hello@tavologroup.com","待联系","","",""
"Revolver Canggu","cafes-dev.json","career@revolverbali.com","待联系","","",""
"ZIN Cafe","cafes-dev.json","+62 (0)811-3111-6646 (WhatsApp)","待联系","","",""
"Fold Canggu","cafes-dev.json","careers@fold.co.id","待联系","","",""
"Sari Kitchen & Community - by Ekosistem","cafes-dev.json","hello@saricanggu.com","待联系","","",""
"Two Face / Coffee & Brunch [Canggu]","cafes-dev.json","hello@twofacebali.com","待联系","","",""
"HOME CAFE CANGGU","cafes-dev.json","home.cafe.canggu@gmail.com","待联系","","",""
"BAKED. Berawa","cafes-dev.json","careers@baked.co.id","待联系","","",""
"nüde cafe Berawa","cafes-dev.json","hello@nudeincanggu.com","待联系","","",""
"Lusa By/Suka","cafes-dev.json","info@bysuka.com","待联系","","",""
"Hungry Bird Coffee Roaster","cafes-dev.json","hello@hungrybird.coffee","待联系","","",""
"BGS Bali Canggu - Coffee Bar - Surf Shop","cafes-dev.json","info@bgsbali.com","待联系","","",""
"Crate Cafe","cafes-dev.json","info@cratebali.com","待联系","","",""
"The Common","cafes-dev.json","info@thecommonbali.com","待联系","","",""
"Copenhagen","cafes-dev.json","info@copenhagenbali.com","待联系","","",""
"Secret Spot","cafes-dev.json","info@secretspot.id","待联系","","",""
"Suka Espresso","cafes-dev.json","hello@sukaespresso.com","待联系","","",""
"Miel Coffee","cafes-dev.json","hello@miels.id","待联系","","",""
"Baked.","cafes-dev.json","hello@baked.co.id","待联系","","",""
"YUKI","cafes-dev.json","hello@yuki-bali.com","待联系","","",""
"Bottega Italiana","cafes-dev.json","ciao@bottegaitalianabali.com","待联系","","",""
"Salty Bob","cafes-dev.json","hello@saltybob.com","待联系","","",""
"Brunch Club Berawa","cafes-dev.json","bookings@brunchclubbali.com","待联系","","",""
"Bokashi Berawa","cafes-dev.json","recruitmentcoordinator@lydbaligroup.com","待联系","","",""
"ST. ALi - Bali","cafes-dev.json","support@stali.com.au","待联系","","",""
"Brunch Club Pererenan","cafes-dev.json","bookings@brunchclubbali.com","待联系","","",""
"MIEL SPECIALTY COFFEE CANGGU | CO-WORKING","cafes-dev.json","hello@miels.id","待联系","","",""
"Cafe Vida Organic","cafes-dev.json","hello@cafeorganic.co","待联系","","",""
"Rise & Shine Cafe Canggu","cafes-dev.json","","待联系","","",""
"Blou Cafe Canggu","cafes-dev.json","","待联系","","",""
"Kawisari Coffee Farm Shop & Eatery Bali","cafes-dev.json","","待联系","","",""
"Zai Cafe Breakfast & Dinner","cafes-dev.json","info@zaicafe.com","待联系","","",""
"Copenhagen Canggu","cafes-dev.json","info@cphbali.com","待联系","","",""
"YUME - Buduk","cafes-dev.json","","待联系","","",""
"Monsieur Spoon Pererenan","cafes-dev.json","marketing@monsieurspoon.com","待联系","","",""
"Honey,","cafes-dev.json","","待联系","","",""
"SKOOL Kitchen","dining-dev.json","info@skoolkitchen.com","待联系","","",""
"MAURI Restaurant","dining-dev.json","reservations@mauri-restaurant.com","待联系","","",""
"Sangsaka Restaurant","dining-dev.json","info@sangsakabali.com","待联系","","",""
"Hujan Locale","dining-dev.json","reservations@hujanlocale.com","待联系","","",""
"Merah Putih Restaurant","dining-dev.json","reservations@merahputihbali.com","待联系","","",""
"UNI Restaurant & Bar","dining-dev.json","reservations@uni-restaurant.com","待联系","","",""
"Warung Laota","dining-dev.json","info@laota.co.id","待联系","","",""
"Si Jin","dining-dev.json","bookings@sijinbali.com","待联系","","",""
"Boy'N'Cow","dining-dev.json","info@boyncow.com","待联系","","",""
"YUME Omakase","dining-dev.json","info@yumeomakase.com","待联系","","",""
"Alma Tapas Bar - Canggu","dining-dev.json","almatapasbar@soulfoodmob.com","待联系","","",""
"Billy Ho Japanese Restaurant","dining-dev.json","info@billyho.co","待联系","","",""
"Ji Restaurant Bali","dining-dev.json","ji@tuguhotels.com","待联系","","",""
"LACALITA Canggu","dining-dev.json","canggu@lacalitabali.com","待联系","","",""
"La Baracca Bali (Seminyak)","dining-dev.json","info@labaraccabali.com","待联系","","",""
"Luigi's Hot Pizza Canggu","dining-dev.json","info@luigishotpizza.com","待联系","","",""
"M. MASON Bar | Grill Canggu","dining-dev.json","reservations@masonbali.com","待联系","","",""
"Honeycomb Hookah & Eatery","bars-dev.json","honeycomb.bali@gmail.com","待联系","","",""
"LONGTIME | Modern Asian Restaurant & Bar Bali","bars-dev.json","reservations@longtimebali.com","待联系","","",""
"PLATONIC","bars-dev.json","platonicspeakeasy@gmail.com","待联系","","",""
"The Shady Fox","bars-dev.json","theshadyfox@tavologroup.com","待联系","","",""
"Bali Beer Cycle","bars-dev.json","info@balibeercycle.com","待联系","","",""
"The Barn Pub & Kitchen","bars-dev.json","info@thebarnbali.com","待联系","","",""
"Black Sand Brewery","bars-dev.json","info@blacksandbrewery.com","待联系","","",""
"Shelter Restaurant","bars-dev.json","info@shelterbali.com","待联系","","",""
"Potato Head Beach Club","bars-dev.json","restaurants.seminyak@potatohead.co","待联系","","",""
"Friends Bar","bars-dev.json","info@friendsinbali.com","待联系","","",""
"The Lawn Canggu Beach Club","bars-dev.json","info@thelawncanggu.com","待联系","","",""
"The Shady Pig","bars-dev.json","info@theshadypig.com","待联系","","",""
"Tropical Nomad Coworking Space","cowork-dev","hello@tropicalnomad.org","待联系","","",""
"SETTER Coworking & Private Offices","cowork-dev","+62 888 8323888 (Whatsapp)","待联系","","",""
"PUCO Rooftop Coworking space & Eatery","cowork-dev","pucorooftop@gmail.com","待联系","","",""
"Nebula Entrepreneur Coworking Space","cowork-dev","info@nebulabali.com","待联系","","",""
"Karya Co-working Bali","cowork-dev","karyacoworking@gmail.com","待联系","","",""
"Genesis Creative Centre","cowork-dev","info@genesiscreativecentre.com","待联系","","",""
"Ducat Space","cowork-dev","contact@ducosky.com","待联系","","",""
"B Work Bali","cowork-dev","bwork.bali@gmail.com","待联系","","",""
"Deus Ex Machina - Temple of Enthusiasm","manual-add","info@deus.co.id","待联系","","","" 
