"商家名称 (Business Name)","来源文件 (Source File)","联系方式 (Contact Information)","合作状态 (Partnership Status)","首次联系日期 (First Contact Date)","负责人 (Person in Charge)","备注 (Notes)","ZB Status","ZB Sub status","ZB Account","ZB Domain","ZB First Name","ZB Last Name","ZB Gender","ZB Free Email","ZB MX Found","ZB MX Record","ZB SMTP Provider","ZB Did You Mean","ZB Last Known Activity","ZB Activity Data Count","ZB Activity Data Types","ZB Activity Data Channels","ZB City","ZB Region/State","ZB Zip Code","ZB Country"
"Sensorium Bali","cafes-dev.json","info@sensoriumbali.co.id","待联系","","","","do_not_mail","role_based","info","sensoriumbali.co.id","","","","False","true","sensoriumbali.co.id","","","","","","","","","",""
"Milk & Madu Beach Road","cafes-dev.json","hello@milkandmadu.com","待联系","","","备用邮箱: pr@milkandmadu.com","do_not_mail","role_based_catch_all","hello","milkandmadu.com","","","","False","true","milkandmadu-com.mail.protection.outlook.com","microsoft","","","","","","","","",""
"The Avocado Factory","cafes-dev.json","hello@tavologroup.com","待联系","","","","do_not_mail","role_based","hello","tavologroup.com","","","","False","true","aspmx.l.google.com","g-suite","","","","","","","","",""
"Revolver Canggu","cafes-dev.json","career@revolverbali.com","待联系","","","","do_not_mail","role_based","career","revolverbali.com","","","","False","true","aspmx.l.google.com","g-suite","","","","","","","","",""
"Fold Canggu","cafes-dev.json","careers@fold.co.id","待联系","","","","do_not_mail","role_based","careers","fold.co.id","","","","False","false","","","","","","","","","","",""
"Sari Kitchen & Community - by Ekosistem","cafes-dev.json","hello@saricanggu.com","待联系","","","","do_not_mail","role_based_catch_all","hello","saricanggu.com","","","","False","true","saricanggu.com","","","","","","","","","",""
"Two Face / Coffee & Brunch [Canggu]","cafes-dev.json","hello@twofacebali.com","待联系","","","","do_not_mail","role_based","hello","twofacebali.com","","","","False","false","","","","","","","","","","",""
"HOME CAFE CANGGU","cafes-dev.json","home.cafe.canggu@gmail.com","待联系","","","","valid","","homecafecanggu","gmail.com","","","","True","true","alt1.gmail-smtp-in.l.google.com","google","","","","","","","","",""
"BAKED. Berawa","cafes-dev.json","careers@baked.co.id","待联系","","","","do_not_mail","role_based","careers","baked.co.id","","","","False","true","aspmx.l.google.com","g-suite","","","","","","","","",""
"nüde cafe Berawa","cafes-dev.json","hello@nudeincanggu.com","待联系","","","","do_not_mail","role_based","hello","nudeincanggu.com","","","","False","true","aspmx.l.google.com","g-suite","","","","","","","","",""
"Lusa By/Suka","cafes-dev.json, dining-dev.json","info@bysuka.com","待联系","","","","invalid","does_not_accept_mail","info","bysuka.com","","","","False","false","","","","","","","","","","",""
"Hungry Bird Coffee Roaster","cafes-dev.json","hello@hungrybird.coffee","待联系","","","","invalid","mailbox_not_found","hello","hungrybird.coffee","","","","False","true","aspmx.l.google.com","g-suite","","","","","","","","",""
"Brunch Club Berawa","cafes-dev.json","bookings@brunchclubbali.com","待联系","","","","do_not_mail","role_based","bookings","brunchclubbali.com","","","","False","true","aspmx.l.google.com","g-suite","","","","","","","","",""
"Bokashi Berawa","cafes-dev.json, dining-dev.json","recruitmentcoordinator@lydbaligroup.com","待联系","","","","valid","","recruitmentcoordinator","lydbaligroup.com","","","","False","true","aspmx.l.google.com","g-suite","","","","","","","","",""
"Crate Cafe","cafes-dev.json","info@cratebali.com","待联系","","","","do_not_mail","role_based","info","cratebali.com","","","","False","true","_dc-mx.a57b7d4fcf04.cratebali.com","","","","","","","","","",""
"ST. ALi - Bali","cafes-dev.json","support@stali.com.au","待联系","","","","do_not_mail","role_based_catch_all","support","stali.com.au","","","","False","true","aspmx.l.google.com","g-suite","","","","","","","","",""
"MIEL SPECIALTY COFFEE CANGGU | CO-WORKING","cafes-dev.json","hello@miels.id","待联系","","","","do_not_mail","role_based","hello","miels.id","","","","False","false","","","","","","","","","","",""
"The Common","cafes-dev.json","info@thecommonbali.com","待联系","","","","do_not_mail","role_based_catch_all","info","thecommonbali.com","","","","False","true","thecommonbali-com.mail.protection.outlook.com","microsoft","","","","","","","","",""
"Cafe Vida Organic","cafes-dev.json","hello@cafeorganic.co","待联系","","","","do_not_mail","role_based","hello","cafeorganic.co","","","","False","true","mail.cafeorganic.co","","","","","","","","","",""
"Zai Cafe Breakfast & Dinner","cafes-dev.json, dining-dev.json","info@zaicafe.com","待联系","","","","do_not_mail","role_based","info","zaicafe.com","","","","False","false","","","","","","","","","","",""
"Copenhagen Canggu","cafes-dev.json","info@cphbali.com","待联系","","","","do_not_mail","role_based","info","cphbali.com","","","","False","false","","","","","","","","","","",""
"BGS Bali Canggu - Coffee Bar - Surf Shop","cafes-dev.json","info@bgsbali.com","待联系","","","","do_not_mail","role_based","info","bgsbali.com","","","","False","true","aspmx.l.google.com","g-suite","","","","","","","","",""
"Suka Espresso","cafes-dev.json","hello@sukaespresso.com","待联系","","","","invalid","mailbox_not_found","hello","sukaespresso.com","","","","False","true","aspmx.l.google.com","g-suite","","","","","","","","",""
"Secret Spot Canggu","cafes-dev.json","info@secretspot.id","待联系","","","","do_not_mail","role_based_catch_all","info","secretspot.id","","","","False","true","mx.stackmail.com","","","","","","","","","",""
"Monsieur Spoon Pererenan","cafes-dev.json","marketing@monsieurspoon.com","待联系","","","","do_not_mail","role_based","marketing","monsieurspoon.com","","","","False","true","mail.monsieurspoon.com","","","","","","","","","",""
"YUKI","cafes-dev.json","hello@yuki-bali.com","待联系","","","","do_not_mail","role_based","hello","yuki-bali.com","","","","False","true","aspmx.l.google.com","g-suite","","","","","","","","",""
"Bottega Italiana Canggu","cafes-dev.json","ciao@bottegaitalianabali.com","待联系","","","","invalid","mailbox_not_found","ciao","bottegaitalianabali.com","","","","False","true","aspmx.l.google.com","g-suite","","","","","","","","",""
"Salty Bob","cafes-dev.json","hello@saltybob.com","待联系","","","","do_not_mail","global_suppression","hello","saltybob.com","","","","False","false","","","","","","","","","","",""
"Alma Tapas Bar - Canggu","dining-dev.json","almatapasbar@soulfoodmob.com","待联系","","","","valid","","almatapasbar","soulfoodmob.com","","","","False","true","aspmx.l.google.com","g-suite","","","","","","","","",""
"Billy Ho Japanese Restaurant","dining-dev.json","info@billyho.co","待联系","","","","invalid","mailbox_not_found","info","billyho.co","","","","False","true","aspmx.l.google.com","g-suite","","","","","","","","",""
"Hippie Fish Pererenan Beach","dining-dev.json, bars-dev.json","info@hippiefishbali.com","待联系","","","","do_not_mail","role_based","info","hippiefishbali.com","","","","False","false","","","","","","","","","","",""
"Ji Restaurant Bali","dining-dev.json","ji@tuguhotels.com","待联系","","","","valid","","ji","tuguhotels.com","","","","False","true","mx.spamexperts.com","spamexperts","","","","","","","","",""
"LACALITA Canggu","dining-dev.json","canggu@lacalitabali.com","待联系","","","","valid","","canggu","lacalitabali.com","","","","False","true","mx.zoho.com","zoho","","","","","","","","",""
"La Baracca Bali (Seminyak)","dining-dev.json","info@labaraccabali.com","待联系","","","","do_not_mail","role_based","info","labaraccabali.com","","","","False","true","mx.labaraccabali.com","","","","","","","","","",""
"Luigi's Hot Pizza Canggu","dining-dev.json","info@luigishotpizza.com","待联系","","","","do_not_mail","role_based","info","luigishotpizza.com","","","","False","true","aspmx.l.google.com","g-suite","","","","","","","","",""
"M. MASON Bar | Grill Canggu","dining-dev.json","reservations@masonbali.com","待联系","","","","invalid","mailbox_not_found","reservations","masonbali.com","","","","False","true","aspmx.l.google.com","g-suite","","","","","","","","",""
"Miss Fish Bali","dining-dev.json, bars-dev.json","info@missfishbali.com","待联系","","","","do_not_mail","role_based","info","missfishbali.com","","","","False","true","missfishbali-com.mail.protection.outlook.com","microsoft","","","","","","","","",""
"SKOOL Kitchen","dining-dev.json","info@skoolkitchen.com","待联系","","","","invalid","no_dns_entries","info","skoolkitchen.com","","","","False","false","","","","","","","","","","",""
"Honeycomb Hookah & Eatery","bars-dev.json","honeycomb.bali@gmail.com","待联系","","","","invalid","mailbox_not_found","honeycombbali","gmail.com","","","","True","true","alt1.gmail-smtp-in.l.google.com","google","","","","","","","","",""
"LONGTIME | Modern Asian Restaurant & Bar Bali","bars-dev.json","reservations@longtimebali.com","待联系","","","","do_not_mail","role_based","reservations","longtimebali.com","","","","False","true","aspmx.l.google.com","g-suite","","","","","","","","",""
"PLATONIC","bars-dev.json","platonicspeakeasy@gmail.com","待联系","","","","invalid","mailbox_not_found","platonicspeakeasy","gmail.com","","","","True","true","alt1.gmail-smtp-in.l.google.com","google","","","","","","","","",""
"The Shady Fox","bars-dev.json","theshadyfox@tavologroup.com","待联系","","","","invalid","mailbox_not_found","theshadyfox","tavologroup.com","","","","False","true","aspmx.l.google.com","g-suite","","","","","","","","",""
"Bali Beer Cycle","bars-dev.json","info@balibeercycle.com","待联系","","","","do_not_mail","role_based_catch_all","info","balibeercycle.com","","","","False","true","balibeercycle-com.mail.protection.outlook.com","microsoft","","","","","","","","",""
"The Barn Pub & Kitchen","bars-dev.json","info@thebarnbali.com","待联系","","","","do_not_mail","role_based","info","thebarnbali.com","","","","False","true","smtp.secureserver.net","godaddy","","","","","","","","",""
"Black Sand Brewery","bars-dev.json","info@blacksandbrewery.com","待联系","","","","invalid","mailbox_not_found","info","blacksandbrewery.com","","","","False","true","aspmx.l.google.com","g-suite","","","","","","","","",""
"Shelter Restaurant","bars-dev.json","info@shelterbali.com","待联系","","","","do_not_mail","role_based","info","shelterbali.com","","","","False","true","aspmx.l.google.com","g-suite","","","","","","","","",""
"Potato Head Beach Club","bars-dev.json","restaurants.seminyak@potatohead.co","待联系","","","","valid","","restaurantsseminyak","potatohead.co","","","","False","true","aspmx.l.google.com","g-suite","","365","3","unknown","unknown","","","",""
"Friends Bar","bars-dev.json","info@friendsinbali.com","待联系","","","","do_not_mail","role_based","info","friendsinbali.com","","","","False","true","mx.zohomail.com","zoho","","","","","","","","",""
"The Lawn Canggu Beach Club","bars-dev.json","info@thelawncanggu.com","待联系","","","","invalid","mailbox_not_found","info","thelawncanggu.com","","","","False","true","aspmx.l.google.com","g-suite","","","","","","","","",""
"The Shady Pig","bars-dev.json","info@theshadypig.com","待联系","","","","do_not_mail","role_based","info","theshadypig.com","","","","False","true","smtp.secureserver.net","godaddy","","","","","","","","",""
"Tropical Nomad Coworking Space","cowork-dev","hello@tropicalnomad.org","待联系","","","","do_not_mail","role_based","hello","tropicalnomad.org","","","","False","true","aspmx.l.google.com","g-suite","","","","","","","","",""
"PUCO Rooftop Coworking space & Eatery","cowork-dev","pucorooftop@gmail.com","待联系","","","","valid","","pucorooftop","gmail.com","","","","True","true","alt1.gmail-smtp-in.l.google.com","google","","","","","","","","",""
"Nebula Entrepreneur Coworking Space","cowork-dev","info@nebulabali.com","待联系","","","","do_not_mail","role_based","info","nebulabali.com","","","","False","false","","","","","","","","","","",""
"Karya Co-working Bali","cowork-dev","karyacoworking@gmail.com","待联系","","","","valid","","karyacoworking","gmail.com","","","","True","true","alt1.gmail-smtp-in.l.google.com","google","","","","","","","","",""
"Genesis Creative Centre","cowork-dev","info@genesiscreativecentre.com","待联系","","","","do_not_mail","role_based","info","genesiscreativecentre.com","","","","False","true","aspmx.l.google.com","g-suite","","","","","","","","",""
"Ducat Space","cowork-dev","contact@ducosky.com","待联系","","","","do_not_mail","role_based_catch_all","contact","ducosky.com","","","","False","true","ducosky.com","","","","","","","","","",""
"B Work Bali","cowork-dev","bwork.bali@gmail.com","待联系","","","","valid","","bworkbali","gmail.com","","","","True","true","alt1.gmail-smtp-in.l.google.com","google","","","","","","","","",""
"Deus Ex Machina - Temple of Enthusiasm","manual-add","info@deus.co.id","待联系","",""," ","do_not_mail","role_based","info","deus.co.id","","","","False","true","srv181.niagahoster.com","","","","","","","","","",""
